합계 : Number of reported cases of cholera,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,총합계
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838,5,30,24,201,54,161,21,226,101,70,1,,679,503,568,10,3,106,274,3220,327,1235,157,,12,586,89,405,1453,23,67,,,9,,,,355,11813
Senegal,,,,,,,,,,,,,,,,,,,,,,,265,379,,,,,,315,103,,428,,,728,2988,476,3150,390,,,,,,,3332,16107,371,,,,,,,1227,31719,365,3984,1283,4,3,5,1,,,,,67623
Sierra Leone,,,,,,,,,,,,,,,,,,,,,,293,211,,,,,,12,,,,,,,,,8957,557,,,,,,,9709,10285,,,2096,863,,,,,513,6,2560,2219,62,,,,23124,377,,,,61844
Somalia,,,,,,,,,,,,,,,,,,,,,,43,89,,,,,,,,,,,,,,10199,15980,,,,,,,,28334,9255,10274,6814,4417,17757,7496,2567,2775,11020,4490,,,41643,1281,208,3510,77636,22576,6864,2820,7536,15619,311203
South Africa,,,,,,,,,,,,,,,,,,,,,,,,,1,37,,,,,2,859,4180,11968,4715,1182,2742,120,37,,,,10,11,78,4,,,,20,68,19667,106159,10004,3901,2767,3503,0,,3907,10520,,,,1,,,,186463
South Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6421,1818,4295,12534
Thailand,16,,1,,,,,,,10201,4368,,,,2230,960,65,401,148,404,961,,,,844,1475,1335,6,383,4183,1788,4331,39,638,1497,645,899,213,6353,3418,,,,,,3487,,,,,,,,,,,,35,1428,436,315,1974,279,29,8,12,125,52,55982
Togo,,,,,,,,,,,,,,,,,,,,,,75,335,16,,58,,,132,6,,,,,,,,,,1,,,2396,753,19,47,65,146,42,3217,667,338,2551,257,384,1080,1320,1159,65,397,218,72,4,61,166,262,35,,16344
Uganda,,,,,,,,,,,,,,,,,,,,,,,757,,,,3,,,1120,940,1539,,190,,,,,140,,,,279,5072,,704,538,291,2610,49514,5179,2807,247,2274,4377,3380,4924,5194,276,3726,1095,2341,,6326,748,309,1461,516,108877
Yemen,,,,,,,,,,,,,,,,,,,,,,,190,1064,215,6,1,,,414,1953,720,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,55,300,31789,,,,,15751,52462
Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,263,12,57,14,1403,233,,,,,,44,3717,13154,11659,6766,,,2172,36,171,13511,4504,3109,339,1049,12149,1503,5360,2286,2061,4712,6794,330,198,,,,,97606
Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,1,37,615,144,,,,,,,,,144,2,,,,,,2048,5385,,,,,995,5637,1675,650,3125,1009,119,516,789,65,60055,68153,951,1220,23,,,60,10,153428
총합계,16,30434,107682,122647,240856,37763,40175,63528,63015,95753,36135,37830,60223,66621,55023,73768,54449,22259,16370,32900,30693,53539,151194,33600,53222,45801,36134,22548,41137,42218,32291,29360,26575,48966,45876,18203,33143,38795,51571,39382,40851,63386,188106,80003,129532,210898,86206,113125,86547,210684,232969,125137,176235,128533,109857,89463,117962,190363,157960,167532,197038,299756,565567,236189,126173,189262,159867,118733,6729629
